Descriptor,Values
MATS2v,0.025930222639550582
MATS3v,0.02895058686668106
MATS4v,0.015100269567846603
MATS5v,0.01745335794413716
MATS6v,0.018106699052277797
MATS7v,0.026769630124045207
MATS8v,0.02909413049755738
MATS1se,0.033614082665504696
MATS2se,0.01879084701233369
MATS3se,0.020123471457671016
MATS5se,0.019640583427364966
MATS6se,0.026962153116151466
MATS7se,0.029444965363823794
MATS8se,0.025804267718587237
MATS1are,0.036168176647234596
MATS2are,0.023728648681491382
MATS3are,0.021720894342982966
MATS4are,0.028099595431727575
MATS5are,0.0236937331550493
MATS6are,0.02373689707246962
MATS7are,0.029872022611481697
MATS8are,0.03152676311354341
MATS1p,0.0208699708213258
MATS2p,0.025253016046249854
MATS3p,0.027721100432490875
MATS4p,0.016851208474222723
MATS5p,0.02933687314850353
MATS6p,0.01873774715108878
MATS7p,0.03214566991753065
MATS8p,0.024107601915685173
MATS1i,0.044138814217740574
MATS2i,0.024831732408194584
MATS3i,0.05911537436197101
MATS4i,0.027497343760400916
MATS5i,0.039376215465582565
MATS6i,0.025722125799383377
MATS7i,0.048154929607208796
MATS8i,0.035995528445267766
GATS1c,0.03934838301883703
GATS2c,0.047430452186349115
GATS3c,0.03413220502147274
GATS4c,0.05732895025474738
GATS5c,0.04424261416987996
GATS6c,0.03504751128643857
GATS7c,0.018900067201043758
GATS8c,0.015231878715205038
GATS1dv,0.038760190724773214
GATS2dv,0.028531397841043304
GATS3dv,0.03666500339521628
GATS4dv,0.03599251794866065
GATS5dv,0.014514944012350206
GATS6dv,0.023838502461811295
GATS7dv,0.030108876177599164
GATS8dv,0.02442348536124328
GATS1d,0.01609332530012786
GATS2d,0.023701309497703882
GATS3d,0.033072324837218225
GATS4d,0.02875968091793979
GATS5d,0.038810497900477525
GATS6d,0.031956366667674097
GATS7d,0.04730377884918591
GATS8d,0.047328338357102595
GATS1m,0.02093612584174087
GATS2m,0.02084572647879579
GATS3m,0.025749655099176927
GATS4m,0.0009393390968566173
GATS5m,0.004232838189360599
GATS6m,0.004796602894082014
GATS7m,0.0010505739242918644
GATS8m,0.00641877367678978
GATS1v,0.0289832027589787
GATS2v,0.040671154579688285
GATS3v,0.022621353837517066
GATS4v,0.025343591204285865
GATS5v,0.02530673348037249
GATS6v,0.031147990423150418
GATS7v,0.02961231098785211
GATS8v,0.05284248860705443
GATS1se,0.02421142673632337
GATS2se,0.0251131758930061
GATS4se,0.029655611611898003
GATS5se,0.019038529800190496
GATS6se,0.022891544012516363
GATS7se,0.012422125023205055
GATS8se,0.020565524091924026
GATS1pe,0.02249991954305619
GATS1are,0.022997481999235347
GATS2are,0.02880054764526374
GATS3are,0.028925993360851
GATS4are,0.033040329799153056
GATS5are,0.021837765711949064
GATS6are,0.02227958546288633
GATS7are,0.020441520846951722
GATS8are,0.02039971609406921
GATS1p,0.02726745547107301
GATS2p,0.03915838417888562
GATS3p,0.02061971031136034
GATS4p,0.02179110590244049
GATS5p,0.02736599943482876
GATS6p,0.01880513159111441
GATS7p,0.017312749950702866
GATS8p,0.018675768831974082
GATS1i,0.03656365958830987
GATS2i,0.05833416138399983
GATS3i,0.03300221800076075
GATS4i,0.01915487673208105
GATS5i,0.04392209060756258
GATS6i,0.026941600616593675
GATS7i,0.02951535509435388
GATS8i,0.038834689406637146
BalabanJ,0.03456547224250528
BertzCT,0.025580814417700548
nBonds,0.012701790530234458
nBondsS,0.016261638300520964
nBondsD,0.010334550632983275
nBondsA,0.0938099711810012
nBondsM,0.07266843670312495
nBondsKS,0.013047457902912729
nBondsKD,0.04536886963606479
RNCG,0.022138922596360855
RPCG,0.016482488364387926
C1SP2,0.03686730878406319
C2SP2,0.05436881169021701
C3SP2,0.040843688685577195
C1SP3,0.02673185067388717
C2SP3,0.01096975085551155
C3SP3,-0.004309629418364269
C4SP3,0.0019677412533620764
FCSP3,0.0374411883896304
Xch-5d,0.032966715615445175
Xch-6d,0.052862120871862484
Xch-7d,0.025315375473270674
Xch-3dv,-0.000297942565657322
Xch-4dv,-0.0002979425656573567
Xch-5dv,0.01856699469228018
Xch-6dv,0.03284619787086074
Xch-7dv,0.020491474523624653
Xc-3d,0.006726978961472341
Xc-4d,0.003266700051772653
Xc-5d,0.011474814651186938
Xc-6d,0.006539829971186684
Xc-3dv,0.007766317232722919
Xc-4dv,0.0026574795636982174
Xc-5dv,0.010445778842146813
Xc-6dv,0.002902662658646249
Xpc-4d,0.011853019181921276
Xpc-5d,0.008571751147322004
Xpc-6d,0.008939647460207478
Xpc-4dv,0.011764804178179933
Xpc-5dv,0.011268432710902498
Xpc-6dv,0.010454920390051026
Xp-1d,0.013264840243516929
Xp-2d,0.012818190640507154
Xp-3d,0.012746958482144688
Xp-4d,0.013558836397257412
Xp-5d,0.011562891137209874
Xp-6d,0.010076419880158394
Xp-7d,0.009139413924196926
AXp-1d,0.03463831258026051
AXp-2d,0.03622669165352832
AXp-3d,0.04744213324093849
AXp-4d,0.04159026410168565
AXp-5d,0.036556558764911706
AXp-6d,0.04399142684103374
AXp-7d,0.03853758473769542
Xp-0dv,0.01102919614034592
Xp-1dv,0.010604987798382925
Xp-2dv,0.011327282690420049
Xp-3dv,0.011646245197802774
Xp-4dv,0.014117653244382744
Xp-5dv,0.0130833409255251
Xp-6dv,0.011816655065036485
Xp-7dv,0.010842396755774253
AXp-0dv,0.016784143157833054
AXp-1dv,0.020203580098489216
AXp-2dv,0.022030608443933897
AXp-3dv,0.02381922792960456
AXp-4dv,0.02076230246037536
AXp-5dv,0.02170114035182724
AXp-6dv,0.0165988445966212
AXp-7dv,0.016215393639172238
SZ,0.008714341761309363
Sm,0.008206756893489153
Sv,0.01330452653446823
Sare,0.012238471250789473
Sp,0.012948790818237743
Si,0.01238750600583094
MZ,0.007781600888968843
Mm,0.007243100209536113
Mv,0.024493938271370475
Mse,0.005003438542359628
Mpe,0.004589913432474502
Mare,0.004191838864698427
Mp,0.013315729079023342
Mi,0.02055762701184527
NsCH3,0.025754647977432876
NdCH2,-0.005540884398191573
NssCH2,0.0212042222749379
NtCH,-0.000540879147865575
NdsCH,-0.006229365697585865
NaaCH,0.04376275156902354
NsssCH,0.008881587910527067
NtsC,-0.015696283766171826
NdssC,0.007297520284263781
NaasC,0.030975522788402987
NaaaC,0.02054859021218447
NssssC,0.0010020855246007376
NsNH2,0.007441134425087537
NssNH,0.029291906415898294
NaaNH,0.15307104325593102
NtN,-0.01613287190844126
NdsN,0.003361097318365501
NaaN,0.11668043637282155
NsssN,0.01186217998714506
NaasN,0.05968112963044958
NsOH,0.028431300763039624
NdO,0.010192095568093196
NssO,0.021935185258621148
NsF,-0.0024426585432870684
NdS,0.0055794322307728406
